eta, lambda, accuracy, cost
9.729241e-02, 1.463048e-11, 5.214785e+01, 1.335729e+00
9.852783e-02, 2.581755e-08, 5.264735e+01, 1.355857e+00
9.027561e-02, 9.678452e-05, 5.154845e+01, 1.399093e+00
1.030359e-01, 1.843584e-13, 5.214785e+01, 1.391097e+00
1.046685e-01, 1.210135e-13, 5.184815e+01, 1.359006e+00
1.016031e-01, 8.058211e-04, 5.104895e+01, 1.393286e+00
9.084093e-02, 1.950219e-13, 5.304695e+01, 1.370052e+00
9.011962e-02, 5.673183e-13, 5.404595e+01, 1.351946e+00
1.021929e-01, 1.058537e-12, 5.274725e+01, 1.365053e+00
1.027533e-01, 3.096618e-07, 5.324675e+01, 1.348977e+00
9.988404e-02, 5.621119e-08, 5.214785e+01, 1.366949e+00
1.004584e-01, 1.083352e-10, 5.084915e+01, 1.366211e+00
1.079923e-01, 1.850630e-08, 5.254745e+01, 1.341402e+00
1.016529e-01, 8.083679e-08, 5.254745e+01, 1.382982e+00
9.850848e-02, 2.710164e-04, 5.054945e+01, 1.384755e+00
1.039574e-01, 2.388233e-04, 5.004995e+01, 1.411300e+00
9.477286e-02, 3.501251e-06, 5.234765e+01, 1.374436e+00
1.063609e-01, 1.885318e-05, 5.314685e+01, 1.370350e+00
1.029393e-01, 2.690007e-08, 5.144855e+01, 1.406789e+00
1.067909e-01, 3.269985e-11, 5.114885e+01, 1.362375e+00
9.189513e-02, 1.287525e-08, 5.454545e+01, 1.341914e+00
9.913571e-02, 1.068476e-14, 5.244755e+01, 1.342992e+00
1.036854e-01, 2.147689e-06, 5.234765e+01, 1.355944e+00
1.034848e-01, 1.039345e-07, 5.204795e+01, 1.380976e+00
9.883372e-02, 2.362633e-07, 5.224775e+01, 1.387489e+00
1.080736e-01, 5.666165e-05, 5.284715e+01, 1.368132e+00
9.389313e-02, 1.828814e-07, 5.214785e+01, 1.352132e+00
1.047796e-01, 3.648330e-08, 5.124875e+01, 1.385924e+00
1.045321e-01, 2.117451e-04, 5.304695e+01, 1.346359e+00
1.003972e-01, 1.356922e-06, 5.094905e+01, 1.378734e+00
1.009812e-01, 1.293294e-04, 5.104895e+01, 1.386780e+00
9.971728e-02, 3.883499e-11, 5.174825e+01, 1.375763e+00
1.043669e-01, 4.711523e-05, 5.094905e+01, 1.407661e+00
9.344549e-02, 3.636828e-13, 5.334665e+01, 1.339532e+00
1.000943e-01, 3.097002e-05, 5.344655e+01, 1.377950e+00
1.084665e-01, 3.864919e-06, 5.294705e+01, 1.341008e+00
1.021023e-01, 1.602588e-14, 5.174825e+01, 1.412115e+00
1.069890e-01, 1.945330e-14, 5.314685e+01, 1.361485e+00
9.878611e-02, 1.566014e-04, 5.244755e+01, 1.407736e+00
1.082959e-01, 6.883330e-11, 5.364635e+01, 1.358301e+00
9.954637e-02, 2.104912e-04, 5.134865e+01, 1.392714e+00
9.659522e-02, 2.513734e-14, 5.364635e+01, 1.367302e+00
9.142750e-02, 1.173084e-09, 5.234765e+01, 1.360203e+00
9.471407e-02, 1.885994e-05, 5.234765e+01, 1.367014e+00
1.099790e-01, 1.056711e-14, 5.154845e+01, 1.387368e+00
1.048738e-01, 3.192647e-08, 5.164835e+01, 1.389974e+00
1.066057e-01, 1.468375e-11, 5.304695e+01, 1.377978e+00
1.034102e-01, 3.769769e-09, 5.304695e+01, 1.385179e+00
9.239592e-02, 3.083955e-05, 5.154845e+01, 1.377712e+00
1.032623e-01, 3.037016e-12, 5.224775e+01, 1.360401e+00
1.055399e-01, 3.817763e-04, 5.114885e+01, 1.392015e+00
9.592001e-02, 3.623437e-14, 5.204795e+01, 1.358954e+00
9.628108e-02, 6.421720e-13, 5.174825e+01, 1.398706e+00
9.967119e-02, 4.657211e-13, 5.224775e+01, 1.353123e+00
9.464895e-02, 5.824066e-11, 5.274725e+01, 1.409751e+00
1.042203e-01, 4.401982e-12, 5.464535e+01, 1.387249e+00
1.076648e-01, 5.651493e-13, 5.324675e+01, 1.399124e+00
1.050590e-01, 7.008846e-11, 5.184815e+01, 1.398477e+00
1.023612e-01, 1.092280e-09, 5.254745e+01, 1.369852e+00
1.098202e-01, 1.559900e-11, 5.104895e+01, 1.378354e+00
1.068973e-01, 7.561422e-06, 5.294705e+01, 1.351791e+00
1.073103e-01, 3.918274e-04, 5.044955e+01, 1.390869e+00
9.420857e-02, 2.693927e-11, 5.234765e+01, 1.402168e+00
9.353371e-02, 1.857539e-12, 5.454545e+01, 1.333234e+00
9.565096e-02, 2.986171e-06, 5.194805e+01, 1.389499e+00
9.901344e-02, 2.156936e-08, 5.304695e+01, 1.349806e+00
